,id,title,price,url,item_categories,affiliation
20,3984037,Messerschmitt Bf 109 variants,22.0,https://www.cgtrader.com/3d-models/aircraft/historic-aircraft/messerschmitt-bf-109-variants,"['airbus', 'aircraft', 'ar', 'boeing', 'drone', 'fighter', 'helicopter', 'historic', 'historic-aircraft', 'jet', 'meta', 'metaverse', 'plane', 'rc', 'uav', 'vr']",
21,3673372,learjet private jets in philippines,17.0,https://www.cgtrader.com/3d-models/aircraft/jet/learjet-655e87f0-965d-4936-b33d-428156cb7acc,"['airbus', 'aircraft', 'boeing', 'fighter', 'fighter-jet', 'helicopter', 'jet', 'jet-fighter', 'jet-plane', 'plane', 'rc', 'rc-helicopter', 'uav']",
22,3816326,Boeing AH-64 Apache,15.0,https://www.cgtrader.com/3d-models/aircraft/helicopter/boeing-ah-64-apache-c034e0d7-7115-4d99-938b-e119a3832f32,"['ah-64', 'airbus', 'aircraft', 'apache', 'boeing', 'fighter', 'helicopter', 'jet', 'plane', 'rc', 'uav']",
23,4141648,Aircraft FLIR Camera AAS-44,39.0,https://www.cgtrader.com/3d-models/military/other/aircraft-flir-camera-aas-44,"['1735c', '44', 'aircraft', 'airplane', 'as', 'camera', 'cctv', 'designitor', 'flir', 'helicopter', 'infra', 'infrared', 'jet', 'laser', 'military', 'other', 'red', 'rt', 'surveillance', 'target', 'thermal']",Autodesk 3ds Max
24,2684965,Pilot Seat 2,29.0,https://www.cgtrader.com/3d-models/aircraft/other/pilot-seat-2,"['aircraft', 'aircraft-interior', 'airplane', 'airplane-interior', 'armchair', 'chair', 'driver', 'furnishing', 'furniture', 'helicopter', 'interior', 'interior-sofa', 'leather', 'leather-chair', 'leather-sofa', 'luxury', 'luxury-sofa', 'modern', 'modern-chair', 'modern-sofa', 'other', 'pilot', 'pilotseat', 'plane', 'private', 'private-aircraft', 'racing', 'racing-driver', 'seating', 'sit', 'sofa', 'sofa-chair']",
25,3916071,Space Shuttle,22.0,https://www.cgtrader.com/3d-models/aircraft/other/space-shuttle-53303f74-8186-420a-ac3b-2e57f045d9de,"['airbus', 'aircraft', 'ar', 'augmented', 'boeing', 'drone', 'fighter', 'helicopter', 'jet', 'meta', 'metaverse', 'other', 'plane', 'rc', 'reality', 'shuttle', 'space', 'uav', 'virtual', 'vr']",
26,2195243,AS-350 LAPD 3,149.0,https://www.cgtrader.com/3d-models/aircraft/helicopter/as-350-lapd-3,"['a-star', 'air', 'aircraft', 'angeles', 'as-350', 'as350', 'astar', 'chopper', 'department', 'division', 'ecureuil', 'eurocopter', 'h-125', 'h125', 'helicopter', 'lapd', 'los', 'n326pd', 'police', 'support', 'usa']",Autodesk 3ds Max
27,3927781,Hawker Sea Fury,17.0,https://www.cgtrader.com/3d-models/aircraft/historic-aircraft/hawker-sea-fury,"['airbus', 'aircraft', 'ar', 'augmented', 'boeing', 'drone', 'fighter', 'fury', 'hawker', 'helicopter', 'historic', 'historic-aircraft', 'jet', 'meta', 'metaverse', 'plane', 'rc', 'reality', 'sea', 'uav', 'virtual', 'vr']",
28,3651645,Chinook CH47 Low Poly,4.99,https://www.cgtrader.com/3d-models/aircraft/helicopter/chinook-ch47-low-poly,"['aircraft', 'ch47', 'chinook', 'chinook-helicopter', 'combat', 'heli', 'helicopter', 'low', 'military', 'poly', 'transport', 'troop', 'unity', 'us']",Blender
29,3360447,helicopter military ,2.0,https://www.cgtrader.com/3d-models/military/military-vehicle/helicopter-military-db5cb487-8eec-4cb9-9de1-6963cdf6c3e6,"['air', 'aircraft', 'combat', 'helicopter', 'infantry', 'military', 'military-aircraft', 'military-vehicle', 'vehicle']",
